id,label,weight
Harry Potter,Harry Potter,13
Bathilda,Bathilda,1
Harry,Harry,1902
Dursley,Dursley,3
Vernon,Vernon,75
Petunia,Petunia,31
Dudley,Dudley,25
Snape,Snape,231
Ron Weasley,Ron Weasley,1
Ron,Ron,749
Hermione Granger,Hermione Granger,1
Hermione,Hermione,638
Hedwig,Hedwig,34
Lily,Lily,13
James Potter,James Potter,3
Lord Voldemort,Lord Voldemort,7
Voldemort,Voldemort,34
Errol,Errol,13
Weasley,Weasley,20
Arthur Weasley,Arthur Weasley,1
Mr Weasley,Mr Weasley,38
Bill,Bill,4
Ginny,Ginny,14
Happy,Happy,2
Don,Don,12
Percy,Percy,64
Fred,Fred,72
George,George,53
Ron Harry,Ron Harry,1
France,France,1
Binns,Binns,2
Will,Will,1
Love,Love,1
Kit,Kit,2
Hagrid,Hagrid,240
Hope,Hope,2
Mr Potter,Mr Potter,4
King,King,6
McGonagall,McGonagall,111
Black,Black,275
Marge,Marge,55
Potter,Potter,47
Stan Shunpike,Stan Shunpike,2
Stan,Stan,50
Longbottom,Longbottom,6
Ernie,Ernie,9
Neville Longbottom,Neville Longbottom,8
Madam Marsh,Madam Marsh,3
Stanley,Stanley,1
Neville,Neville,92
Sirius Black,Sirius Black,37
Cornelius Fudge,Cornelius Fudge,9
Fudge,Fudge,96
Ole,Ole,1
Alley,Alley,11
Tom,Tom,16
Marjorie Dursley,Marjorie Dursley,1
Miss Dursley,Miss Dursley,1
Easter,Easter,6
Florean Fortescue,Florean Fortescue,4
Price,Price,2
Madam Malkin,Madam Malkin,2
Cassandra,Cassandra,1
Seamus Finnigan,Seamus Finnigan,10
Dean Thomas,Dean Thomas,11
Mrs Weasley,Mrs Weasley,26
Molly,Molly,2
You-Know-Who,You-Know-Who,13
Arthur,Arthur,1
Albus Dumbledore,Albus Dumbledore,5
Dumbledore,Dumbledore,146
Penelope Clearwater,Penelope Clearwater,2
Lupin,Lupin,397
Gryffindor,Gryffindor,109
Draco Malfoy,Draco Malfoy,8
Vincent Crabbe,Vincent Crabbe,1
Gregory Goyle,Gregory Goyle,1
Malfoy,Malfoy,164
Slytherin,Slytherin,49
Crabbe,Crabbe,37
Goyle,Goyle,37
Hall,Hall,18
Madam Pomfrey,Madam Pomfrey,36
Poppy,Poppy,3
Miss Granger,Miss Granger,11
Flitwick,Flitwick,23
Ravenclaw,Ravenclaw,27
Kettleburn,Kettleburn,2
Rubeus Hagrid,Rubeus Hagrid,1
Major,Major,2
Pansy Parkinson,Pansy Parkinson,3
George Weasley,George Weasley,12
Trelawney,Trelawney,89
Parvati Patil,Parvati Patil,2
Parvati,Parvati,16
Lavender Brown,Lavender Brown,7
Lavender,Lavender,20
Forest,Forest,5
Pat,Pat,1
Pansy,Pansy,2
Pomfrey,Pomfrey,2
Seamus,Seamus,7
Trevor,Trevor,5
Filch,Filch,19
Dean,Dean,5
Red,Red,5
Oliver Wood,Oliver Wood,5
Wood,Wood,70
Alicia Spinnet,Alicia Spinnet,3
Angelina Johnson,Angelina Johnson,2
Katie Bell,Katie Bell,5
Oliver,Oliver,6
Angelina,Angelina,14
Sprout,Sprout,2
Binky,Binky,4
Lady,Lady,13
Colin Creevey,Colin Creevey,1
Colin,Colin,2
Severus,Severus,15
Nick,Nick,2
Mr Filch,Mr Filch,4
Saw,Saw,1
Hannah Abbott,Hannah Abbott,1
Percy Weasley,Percy Weasley,2
Madam Hooch,Madam Hooch,21
Cedric Diggory,Cedric Diggory,4
Alicia,Alicia,11
Katie,Katie,11
Granger,Granger,5
Diggory,Diggory,3
Willow,Willow,23
Ginny Weasley,Ginny Weasley,1
Davey,Davey,1
Star,Star,2
Mrs Norris,Mrs Norris,2
Sirius,Sirius,68
Merry,Merry,1
Madam,Madam,19
James,James,27
Peter Pettigrew,Peter Pettigrew,6
Minerva,Minerva,3
Pettigrew,Pettigrew,88
Merlin,Merlin,4
Cornelius,Cornelius,1
Lord,Lord,7
Say,Say,1
Mr Hagrid,Mr Hagrid,1
Lucius Malfoy,Lucius Malfoy,5
April,April,1
Norbert,Norbert,2
Eve,Eve,1
Wait,Wait,2
Derek,Derek,1
Kit Hermione,Kit Hermione,1
Tuesday,Tuesday,1
Vector,Vector,1
Cho Chang,Cho Chang,4
Penny,Penny,1
Penelope,Penelope,3
Davies,Davies,1
Lee Jordan,Lee Jordan,5
Cho,Cho,9
Chang,Chang,1
Mr Malfoy,Mr Malfoy,3
Marcus Flint,Marcus Flint,2
Fred Weasley,Fred Weasley,3
Honey,Honey,1
Chris,Chris,1
Severus Snape,Severus Snape,3
June,June,3
See,See,2
Charlie Weasley,Charlie Weasley,1
Wake,Wake,1
Bell,Bell,1
Johnson,Johnson,4
Spinnet,Spinnet,1
Lee,Lee,6
Flint,Flint,11
Montague,Montague,4
Derrick,Derrick,5
Draco,Draco,1
Macnair,Macnair,13
Peter,Peter,37
Remus,Remus,12
Mr Black,Mr Black,1
Er,Er,1
West,West,3
Walden Macnair,Walden Macnair,1
Sirius Harry,Sirius Harry,1
