id,label,weight
Argus,Argus,7
Gilderoy,Gilderoy,9
Justin Finch-Fletchley,Justin Finch-Fletchley,9
Lavender Brown,Lavender Brown,32
Godric Gryffindor,Godric Gryffindor,12
Helga,Helga,2
Rowena Ravenclaw,Rowena Ravenclaw,5
Salazar Slytherin,Salazar Slytherin,11
Miss Brown,Miss Brown,3
Potter Harry,Potter Harry,3
Miss Bulstrode,Miss Bulstrode,1
Millicent Bulstrode,Millicent Bulstrode,10
Millicent,Millicent,5
Boot,Boot,1
Ernie,Ernie,65
Sinistra,Sinistra,9
Peter Weasley,Peter Weasley,1
Bulstrode,Bulstrode,1
Riddle,Riddle,195
Mabel,Mabel,1
Ernie Macmillan,Ernie Macmillan,26
Wash,Wash,1
Valentine,Valentine,5
Tom Riddle,Tom Riddle,46
June,June,16
Marvolo,Marvolo,16
Rubeus,Rubeus,3
Penelope Clearwater,Penelope Clearwater,4
Fudge,Fudge,359
Cornelius,Cornelius,23
Olive,Olive,3
Miss Weasley,Miss Weasley,2
Armando,Armando,6
Bathilda,Bathilda,47
Ron Harry,Ron Harry,1
France,France,5
Kit,Kit,1
Stan Shunpike,Stan Shunpike,12
Stan,Stan,57
Madam Marsh,Madam Marsh,5
Stanley,Stanley,1
Ole,Ole,1
Marjorie Dursley,Marjorie Dursley,1
Miss Dursley,Miss Dursley,1
Florean Fortescue,Florean Fortescue,6
Price,Price,2
Cassandra,Cassandra,3
Lupin,Lupin,633
Vincent Crabbe,Vincent Crabbe,3
Gregory Goyle,Gregory Goyle,4
Poppy,Poppy,3
Kettleburn,Kettleburn,2
Major,Major,2
Trelawney,Trelawney,228
Pat,Pat,1
Pansy,Pansy,20
Binky,Binky,3
Hannah Abbott,Hannah Abbott,14
Cedric Diggory,Cedric Diggory,26
Diggory,Diggory,30
Davey,Davey,1
Sirius,Sirius,861
Peter Pettigrew,Peter Pettigrew,10
Pettigrew,Pettigrew,90
Mr Hagrid,Mr Hagrid,1
April,April,6
Derek,Derek,1
Kit Hermione,Kit Hermione,1
Vector,Vector,7
Cho Chang,Cho Chang,20
Penny,Penny,1
Penelope,Penelope,2
Davies,Davies,9
Cho,Cho,159
Chang,Chang,4
Honey,Honey,1
Chris,Chris,1
Wake,Wake,2
Montague,Montague,32
Derrick,Derrick,5
Macnair,Macnair,15
Peter,Peter,36
Remus,Remus,25
Mr Black,Mr Black,1
Er,Er,8
West,West,8
Walden Macnair,Walden Macnair,2
Sirius Harry,Sirius Harry,2
Mrs Riddle,Mrs Riddle,1
Frank Bryce,Frank Bryce,6
Frank,Frank,57
Dot,Dot,2
Bertha Jorkins,Bertha Jorkins,22
Bertha,Bertha,16
Molly Weasley,Molly Weasley,3
Mr Crouch,Mr Crouch,142
Ludo Bagman,Ludo Bagman,53
Ludo,Ludo,12
Otto,Otto,1
Bagman,Bagman,138
Viktor Krum,Viktor Krum,35
Hill,Hill,4
Amos Diggory,Amos Diggory,12
Cedric,Cedric,246
Amos,Amos,7
Mr Diggory,Mr Diggory,45
Basil,Basil,4
Mr Bagman,Mr Bagman,13
Kevin,Kevin,1
Mrs Finnigan,Mrs Finnigan,2
Krum,Krum,172
Archie,Archie,5
Cuthbert,Cuthbert,1
Gilbert,Gilbert,1
Arnie,Arnie,1
Arnold,Arnold,4
Roddy,Roddy,1
Agatha,Agatha,1
Barty Crouch,Barty Crouch,25
Barty,Barty,16
Crouch,Crouch,109
Mrs Malfoy,Mrs Malfoy,1
Hassan,Hassan,3
Troy,Troy,7
